0,-1000000,71,-3076320,1000000
1,-1000000,61,-2064926,61
2,-1000000,88,-2093421,61
3,-1000000,62,-1068015,61
4,-1000000,77,-1081216,61
5,-1000000,44,-2046822,44
6,-1000000,73,-2078323,44
7,-1000000,70,-2074216,44
8,-1000000,85,-1090419,44
9,-1000000,82,-1085117,44
10,-1000000,67,-1072311,44
11,-1000000,71,-2076525,44
12,-1000000,69,-1072116,44
13,-1000000,73,-1077214,44
14,-1000000,85,-2090422,44
15,-1000000,74,-2080025,44
16,-1000000,30,-1036122,30
17,-1000000,92,-2097821,30
18,-1000000,65,-2068813,30
19,-1000000,58,-2063216,30
20,-1000000,82,-1087114,30
21,-1000000,80,-2084524,30
22,-1000000,83,-4089629,30
23,-1000000,82,-1085117,30
24,-1000000,69,-1074513,30
25,-1000000,78,-2084318,30
26,-1000000,88,-2092220,30
27,-1000000,68,-1071824,30
28,-1000000,69,-2074322,30
29,-1000000,73,-2077820,30
30,-1000000,74,-2080023,30
31,-1000000,58,-2063414,30
32,-1000000,74,-1076712,30
33,-1000000,82,-2087420,30
34,-1000000,82,-2085825,30
35,-1000000,88,-3092426,30
36,-1000000,74,-2080023,30
37,-1000000,81,-2086326,30
38,-1000000,88,-2091822,30
39,-1000000,72,-3075626,30
40,-1000000,69,-1073917,30
41,-1000000,74,-1078217,30
42,-1000000,63,-1067212,30
43,-1000000,67,-3073624,30
44,-1000000,70,-2074632,30
45,-1000000,74,-2078920,30
46,-1000000,83,-2089017,30
47,-1000000,83,-2089029,30
48,-1000000,75,-3080826,30
49,-1000000,62,-1066714,30
50,-1000000,81,-1085820,30
51,-1000000,75,-1079212,30
52,-1000000,85,-1089718,30
53,-1000000,81,-1085919,30
54,-1000000,85,-2091019,30
55,-1000000,82,-1085026,30
56,-1000000,79,-1084729,30
57,-1000000,84,-1089728,30
58,-1000000,40,-2046323,30
59,-1000000,73,-1077422,30
60,-1000000,79,-2082916,30
61,-1000000,38,-4042831,30
62,-1000000,64,-2068915,30
63,-1000000,78,-1082217,30
