0,-359,4,-988,1000000,13
1,-359,1,-458,1000000,13
2,-359,3,-644,1000000,13
3,-359,5,-1127,1000000,13
4,-359,3,-770,1000000,13
5,-359,7,-1626,1000000,13
6,-359,4,-1023,1000000,13
7,-359,6,-1353,1000000,13
8,-359,5,-1306,1000000,13
9,-359,6,-1364,1000000,13
10,-359,8,-1769,1000000,13
11,-359,7,-1526,1000000,13
12,-359,9,-1968,1000000,13
13,-359,8,-1804,1000000,13
14,-359,10,-2265,1000000,13
15,-359,7,-1457,1000000,13
16,-359,7,-1565,1000000,13
17,-359,8,-1705,1000000,13
18,-359,6,-1364,1000000,13
19,-359,11,-2484,1000000,13
20,-359,4,-962,1000000,13
21,-359,4,-949,1000000,13
22,-359,5,-1148,1000000,13
23,-359,4,-1021,1000000,13
24,-283,1,-283,1000000,13
25,-283,3,-646,1000000,13
26,-283,9,-1962,1000000,13
27,-283,4,-928,1000000,13
28,-283,13,-2908,1000000,13
29,-283,7,-1581,1000000,13
30,-283,8,-1769,1000000,13
31,-283,3,-855,1000000,13
32,-283,8,-1769,1000000,13
33,-283,1,-342,1000000,13
34,-283,4,-861,1000000,13
35,-283,9,-2006,1000000,13
36,-283,5,-1127,1000000,13
37,-283,2,-609,1000000,13
38,-283,10,-2209,1000000,13
39,-283,3,-704,1000000,13
40,-283,8,-1791,1000000,13
41,-283,6,-1365,1000000,13
42,-283,5,-1165,1000000,13
43,-283,8,-1825,1000000,13
44,-283,2,-609,1000000,13
45,-283,5,-1187,1000000,13
46,-283,5,-1104,1000000,13
47,-283,9,-1968,1000000,13
48,-283,5,-1240,1000000,13
49,-283,7,-1603,1000000,13
50,-283,3,-735,1000000,13
51,-283,1,-359,1000000,13
52,-283,2,-609,1000000,13
53,-283,7,-1525,1000000,13
54,-283,7,-1565,1000000,13
55,-283,3,-797,1000000,13
56,-283,4,-1070,1000000,13
57,-283,4,-910,1000000,13
58,-283,7,-1664,1000000,13
59,-283,1,-458,1000000,13
60,-283,3,-623,1000000,13
61,-283,2,-609,1000000,13
62,-283,4,-1021,1000000,13
63,-283,10,-2182,1000000,13
64,-283,4,-1027,1000000,13
65,-283,2,-609,1000000,13
66,-283,12,-2649,1000000,13
67,-283,2,-626,1000000,13
68,-283,4,-988,1000000,13
69,-283,3,-700,1000000,13
70,-283,4,-863,1000000,13
71,-283,5,-1279,1000000,13
72,-283,13,-2848,1000000,13
73,-283,1,-435,1000000,13
74,-283,7,-1527,1000000,13
75,-283,3,-778,1000000,13
76,-283,2,-509,1000000,13
77,-283,1,-457,1000000,13
78,-283,3,-782,1000000,13
79,-283,11,-2543,1000000,13
80,-283,7,-1505,1000000,13
81,-283,7,-1553,1000000,13
82,-283,2,-555,1000000,13
83,-283,5,-1279,1000000,13
84,-283,7,-1526,1000000,13
